Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,31-Mar,0,New York,83901,,2219,,,40.663468,-73.938697
1,31-Mar,1,New Jersey,22255,,355,,,40.72422,-74.172574
2,31-Mar,2,California,9807,,210,,,34.019394,-118.410825
3,31-Mar,3,Michigan,9334,,337,,,42.383037,-83.102237
4,31-Mar,4,Massachusetts,7738,,122,,,42.338551,-71.018253
5,31-Mar,5,Florida,7773,,101,,,30.336864,-81.661603
6,31-Mar,6,Washington,5844,,250,,,47.619349,-122.351471
7,31-Mar,7,Illinois,6980,,141,,,41.837551,-87.681844
8,31-Mar,8,Pennsylvania,6002,,74,,,40.009376,-75.133346
9,31-Mar,9,Louisiana,6424,,273,,,30.05342,-89.934502
10,31-Mar,10,Georgia,4748,,154,,,33.762909,-84.422675
11,31-Mar,11,Texas,4068,,60,,,29.786642,-95.390899
12,31-Mar,12,Colorado,3342,,80,,,39.76185,-104.881105
13,31-Mar,13,Connecticut,3557,,85,,,41.187393,-73.195757
14,31-Mar,14,Ohio,2547,,65,,,39.984371,-82.984787
15,31-Mar,15,Tennessee,2683,,25,,,36.1718,-86.785002
16,31-Mar,16,Indiana,2565,,65,,,39.776664,-86.145935
17,31-Mar,17,Maryland,1985,,31,,,39.300032,-76.610476
18,31-Mar,18,North Carolina,1717,,15,,,35.208707,-80.830739
19,31-Mar,19,Wisconsin,1550,,25,,,43.063348,-87.966695
20,31-Mar,20,Arizona,1413,,29,,,33.572154,-112.090132
21,31-Mar,21,Missouri,1581,,18,,,39.125129,-94.551028
22,31-Mar,22,Virginia,1484,,34,,,36.779985,-76.025209
23,31-Mar,23,Nevada,1279,,26,,,36.227551,-115.263782
24,31-Mar,24,Alabama,1108,,28,,,33.527444,-86.799047
25,31-Mar,25,South Carolina,1293,,26,,,32.81793,-79.95896
26,31-Mar,26,Mississippi,1073,,22,,,32.315831,-90.212823
27,31-Mar,27,Utah,1012,,7,,,40.776928,-111.930991
28,31-Mar,28,Oregon,736,,19,,,45.536951,-122.649971
29,31-Mar,29,Minnesota,689,,17,,,44.963324,-93.26832
30,31-Mar,30,Arkansas,584,,10,,,34.725432,-92.358556
31,31-Mar,31,District Of Columbia,586,,11,,,38.904103,-77.017229
32,31-Mar,32,Oklahoma,719,,30,,,35.467079,-97.513657
33,31-Mar,33,Kentucky,680,,20,,,38.165376,-85.647377
34,31-Mar,34,Iowa,549,,9,,,41.57259,-93.610243
35,31-Mar,35,Idaho,673,,9,,,43.600229,-116.231656
36,31-Mar,36,Rhode Island,566,,10,,,41.823056,-71.418784
37,31-Mar,37,Kansas,482,,10,,,37.690638,-97.345836
38,31-Mar,38,New Hampshire,415,,4,,,44,-71.5
39,31-Mar,39,New Mexico,363,,6,,,35.10478,-106.646809
40,31-Mar,40,Maine,344,,7,,,45.367584,-68.972168
41,31-Mar,41,Delaware,368,,11,,,39,-75.5
42,31-Mar,42,Vermont,321,,16,,,44,-72.699997
43,31-Mar,44,Montana,217,,6,,,46.96526,-109.533691
44,31-Mar,45,Nebraska,210,,4,,,41.261748,-96.047142
45,31-Mar,46,West Virginia,191,,2,,,39,-80.5
46,31-Mar,48,North Dakota,142,,3,,,47.650589,-100.437012
47,31-Mar,49,South Dakota,129,,2,,,43.539466,-96.732035
48,31-Mar,50,Wyoming,137,,0,,,43.07597,-107.290283
