Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,29-Mar,0,New York,60679,"7,286",1063,180,56044,40.663468,-73.938697
1,29-Mar,1,New Jersey,13386,"2,262",161,21,13225,40.72422,-74.172574
2,29-Mar,2,California,6204,655,131,12,6052,34.019394,-118.410825
3,29-Mar,3,Michigan,5486,836,132,21,5349,42.383037,-83.102237
4,29-Mar,4,Massachusetts,4955,698,48,4,4906,42.338551,-71.018253
5,29-Mar,5,Florida,4950,912,60,4,4890,30.336864,-81.661603
6,29-Mar,6,Washington,4896,586,200,11,4276,47.619349,-122.351471
7,29-Mar,7,Illinois,4596,"1,105",65,18,4529,41.837551,-87.681844
8,29-Mar,8,Louisiana,3540,225,151,14,3389,30.05342,-89.934502
9,29-Mar,9,Pennsylvania,3419,668,41,7,3378,40.009376,-75.133346
10,29-Mar,10,Texas,2808,479,38,8,2701,29.786642,-95.390899
11,29-Mar,11,Georgia,2683,237,83,4,2600,33.762909,-84.422675
12,29-Mar,12,Colorado,2307,246,47,3,2260,39.76185,-104.881105
13,29-Mar,13,Connecticut,1993,469,34,1,1959,41.187393,-73.195757
14,29-Mar,14,Tennessee,1720,208,7,,1661,36.1718,-86.785002
15,29-Mar,15,Ohio,1653,247,29,4,1624,39.984371,-82.984787
16,29-Mar,16,Indiana,1514,282,32,1,1482,39.776664,-86.145935
17,29-Mar,17,Maryland,1239,247,10,5,1197,39.300032,-76.610476
18,29-Mar,18,North Carolina,1167,145,7,3,1160,35.208707,-80.830739
19,29-Mar,19,Wisconsin,1154,165,17,2,1135,43.063348,-87.966695
20,29-Mar,20,Nevada,920,299,15,1,905,36.227551,-115.263782
21,29-Mar,21,Arizona,919,146,17,2,899,33.572154,-112.090132
22,29-Mar,22,Missouri,903,65,12,2,889,39.125129,-94.551028
23,29-Mar,23,Virginia,890,151,22,5,866,36.779985,-76.025209
24,29-Mar,24,Alabama,827,125,9,5,818,33.527444,-86.799047
25,29-Mar,25,South Carolina,774,114,16,1,758,32.81793,-79.95896
26,29-Mar,26,Mississippi,758,95,14,1,744,32.315831,-90.212823
27,29-Mar,27,Utah,719,117,2,,717,40.776928,-111.930991
28,29-Mar,28,Oregon,548,69,13,,535,45.536951,-122.649971
29,29-Mar,29,Minnesota,503,62,9,4,360,44.963324,-93.26832
30,29-Mar,30,Kentucky,439,45,8,,367,38.165376,-85.647377
31,29-Mar,31,Oklahoma,429,52,16,1,412,35.467079,-97.513657
32,29-Mar,32,Arkansas,426,17,6,1,392,34.725432,-92.358556
33,29-Mar,33,District Of Columbia,401,59,9,5,341,38.904103,-77.017229
34,29-Mar,34,Iowa,336,38,4,1,314,41.57259,-93.610243
35,29-Mar,35,Kansas,319,58,6,1,313,37.690638,-97.345836
36,29-Mar,36,Idaho,310,49,6,2,304,43.600229,-116.231656
37,29-Mar,37,Rhode Island,294,55,3,1,291,41.823056,-71.418784
38,29-Mar,38,New Hampshire,258,44,3,1,255,44,-71.5
39,29-Mar,39,Maine,253,42,3,2,234,45.367584,-68.972168
40,29-Mar,40,New Mexico,237,29,2,,235,35.10478,-106.646809
41,29-Mar,41,Vermont,235,24,12,,223,44,-72.699997
42,29-Mar,42,Delaware,232,18,6,1,217,39,-75.5
43,29-Mar,44,Montana,161,32,1,,160,46.96526,-109.533691
44,29-Mar,45,West Virginia,124,11,1,1,123,39,-80.5
45,29-Mar,46,Nebraska,120,24,2,,118,41.261748,-96.047142
46,29-Mar,48,North Dakota,98,15,1,,79,47.650589,-100.437012
47,29-Mar,49,South Dakota,90,22,1,,60,43.539466,-96.732035
48,29-Mar,50,Wyoming,87,3,,,87,43.07597,-107.290283
