Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,27-Mar,0,New York,46262,"7,285",606,140,43611,40.663468,-73.938697
1,27-Mar,1,New Jersey,8825,"1,949",108,27,8717,40.72422,-74.172574
2,27-Mar,2,California,4791,776,94,12,4679,34.019394,-118.410825
3,27-Mar,3,Washington,3700,493,175,28,3401,47.619349,-122.351471
4,27-Mar,4,Michigan,3657,801,92,32,3560,42.383037,-83.102237
5,27-Mar,5,Massachusetts,3240,823,35,10,3204,42.338551,-71.018253
6,27-Mar,6,Florida,3198,714,46,17,3152,30.336864,-81.661603
7,27-Mar,7,Illinois,3026,488,34,8,2990,41.837551,-87.681844
8,27-Mar,8,Louisiana,2746,441,119,36,2627,30.05342,-89.934502
9,27-Mar,9,Pennsylvania,2218,531,22,6,2196,40.009376,-75.133346
10,27-Mar,10,Georgia,2198,555,65,9,2133,33.762909,-84.422675
11,27-Mar,11,Texas,1950,362,26,6,1913,29.786642,-95.390899
12,27-Mar,12,Colorado,1734,304,31,7,1703,39.76185,-104.881105
13,27-Mar,13,Connecticut,1291,279,27,6,1264,41.187393,-73.195757
14,27-Mar,14,Tennessee,1203,105,6,3,1197,36.1718,-86.785002
15,27-Mar,15,Ohio,1137,270,19,4,1118,39.984371,-82.984787
16,27-Mar,16,Indiana,981,336,24,7,957,39.776664,-86.145935
17,27-Mar,17,North Carolina,880,51,3,1,877,35.208707,-80.830739
18,27-Mar,18,Wisconsin,842,135,14,4,826,43.063348,-87.966695
19,27-Mar,19,Maryland,774,194,5,1,744,39.300032,-76.610476
20,27-Mar,20,Missouri,670,168,9,1,659,39.125129,-94.551028
21,27-Mar,21,Arizona,665,157,13,5,649,33.572154,-112.090132
22,27-Mar,22,Alabama,627,96,3,2,624,33.527444,-86.799047
23,27-Mar,23,Virginia,604,144,14,1,588,36.779985,-76.025209
24,27-Mar,24,Mississippi,579,94,8,3,571,32.315831,-90.212823
25,27-Mar,25,South Carolina,539,83,13,4,526,32.81793,-79.95896
26,27-Mar,26,Nevada,535,115,10,,525,36.227551,-115.263782
27,27-Mar,27,Utah,480,78,2,1,478,40.776928,-111.930991
28,27-Mar,28,Oregon,414,98,11,,403,45.536951,-122.649971
29,27-Mar,29,Minnesota,398,52,4,2,260,44.963324,-93.26832
30,27-Mar,30,Arkansas,381,46,3,1,359,34.725432,-92.358556
31,27-Mar,31,Oklahoma,322,72,8,1,313,35.467079,-97.513657
32,27-Mar,32,District Of Columbia,304,37,4,1,249,38.904103,-77.017229
33,27-Mar,33,Kentucky,302,54,8,  ,292,38.165376,-85.647377
34,27-Mar,34,Iowa,235,55,3,2,214,41.57259,-93.610243
35,27-Mar,35,Idaho,230,41,3,,227,43.600229,-116.231656
36,27-Mar,36,Rhode Island,203,38,,,203,41.823056,-71.418784
37,27-Mar,37,Kansas,202,34,4,1,198,37.690638,-97.345836
38,27-Mar,38,New Mexico,191,55,1,,190,35.10478,-106.646809
39,27-Mar,39,New Hampshire,187,29,2,1,185,44,-71.5
40,27-Mar,40,Vermont,184,26,10,1,174,44,-72.699997
41,27-Mar,41,Maine,168,13,1,1,151,45.367584,-68.972168
42,27-Mar,42,Delaware,165,35,2,1,159,39,-75.5
43,27-Mar,43,Montana,121,50,1,1,120,46.96526,-109.533691
44,27-Mar,45,West Virginia,96,20,1,1,95,39,-80.5
45,27-Mar,46,Nebraska,85,17,,,85,41.261748,-96.047142
46,27-Mar,47,Wyoming,73,17,,,73,43.07597,-107.290283
47,27-Mar,49,North Dakota,68,16,1,1,52,47.650589,-100.437012
48,27-Mar,50,South Dakota,58,12,1,,36,43.539466,-96.732035
