Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,25-Mar,0,New York,32966,"6,618",366,95,32492,40.663468,-73.938697
1,25-Mar,1,New Jersey,4402,727,62,18,4340,40.72422,-74.172574
2,25-Mar,2,California,2998,432,65,14,2925,34.019394,-118.410825
3,25-Mar,3,Washington,2588,119,132,9,2332,47.619349,-122.351471
4,25-Mar,4,Michigan,2295,504,43,19,2247,42.383037,-83.102237
5,25-Mar,5,Florida,1977,510,23,3,1954,30.336864,-81.661603
6,25-Mar,6,Illinois,1865,330,19,3,1844,41.837551,-87.681844
7,25-Mar,7,Massachusetts,1838,679,15,4,1822,42.338551,-71.018253
8,25-Mar,8,Louisiana,1795,407,65,19,1730,30.05342,-89.934502
9,25-Mar,9,Georgia,1387,290,47,9,1340,33.762909,-84.422675
10,25-Mar,10,Texas,1155,132,15,3,1129,29.786642,-95.390899
11,25-Mar,11,Pennsylvania,1127,276,11,4,1116,40.009376,-75.133346
12,25-Mar,12,Colorado,1086,174,19,8,1067,39.76185,-104.881105
13,25-Mar,13,Tennessee,906,133,3,1,903,36.1718,-86.785002
14,25-Mar,14,Connecticut,875,257,19,7,856,41.187393,-73.195757
15,25-Mar,15,Ohio,704,140,11,3,693,39.984371,-82.984787
16,25-Mar,16,Wisconsin,630,173,7,2,621,43.063348,-87.966695
17,25-Mar,17,North Carolina,567,69,2,2,565,35.208707,-80.830739
18,25-Mar,18,Indiana,477,112,14,2,463,39.776664,-86.145935
19,25-Mar,19,South Carolina,424,82,7,2,417,32.81793,-79.95896
20,25-Mar,20,Maryland,423,74,4,,415,39.300032,-76.610476
21,25-Mar,21,Arizona,401,75,6,1,392,33.572154,-112.090132
22,25-Mar,22,Virginia,391,101,9,2,380,36.779985,-76.025209
23,25-Mar,23,Alabama,386,144,,,386,33.527444,-86.799047
24,25-Mar,24,Mississippi,377,57,5,4,372,32.315831,-90.212823
25,25-Mar,25,Missouri,356,86,8,,346,39.125129,-94.551028
26,25-Mar,26,Utah,346,48,1,,345,40.776928,-111.930991
27,25-Mar,27,Nevada,321,43,6,2,315,36.227551,-115.263782
28,25-Mar,28,Minnesota,287,25,1,,198,44.963324,-93.26832
29,25-Mar,29,Arkansas,280,48,2,,267,34.725432,-92.358556
30,25-Mar,30,Oregon,266,57,8,3,258,45.536951,-122.649971
31,25-Mar,31,District Of Columbia,231,48,3,1,228,38.904103,-77.017229
32,25-Mar,32,Kentucky,198,41,5,1,191,38.165376,-85.647377
33,25-Mar,33,Oklahoma,164,58,5,2,158,35.467079,-97.513657
34,25-Mar,34,Iowa,145,21,1,1,144,41.57259,-93.610243
35,25-Mar,35,Maine,142,24,,,139,45.367584,-68.972168
36,25-Mar,36,New Hampshire,137,29,1,,136,44,-71.5
37,25-Mar,37,Rhode Island,132,8,,,132,41.823056,-71.418784
38,25-Mar,38,Kansas,126,28,3,1,123,37.690638,-97.345836
39,25-Mar,39,Vermont,123,28,8,1,115,44,-72.699997
40,25-Mar,40,Delaware,119,15,,,119,39,-75.5
41,25-Mar,41,New Mexico,112,12,1,1,111,35.10478,-106.646809
42,25-Mar,43,Idaho,91,10,,,91,43.600229,-116.231656
43,25-Mar,44,Nebraska,64,3,,,64,41.261748,-96.047142
44,25-Mar,45,Montana,53,7,,,53,46.96526,-109.533691
45,25-Mar,46,West Virginia,52,32,,,52,39,-80.5
46,25-Mar,47,North Dakota,45,11,,,42,47.650589,-100.437012
47,25-Mar,49,South Dakota,41,11,1,,27,43.539466,-96.732035
48,25-Mar,50,Wyoming,41,11,,,41,43.07597,-107.290283
