Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,26-Mar,0,New York,38977,,466,,,40.663468,-73.938697
1,26-Mar,1,New Jersey,6876,,81,,,40.72422,-74.172574
2,26-Mar,2,California,4015,,82,,,34.019394,-118.410825
3,26-Mar,3,Washington,3207,,147,,,47.619349,-122.351471
4,26-Mar,4,Michigan,2856,,60,,,42.383037,-83.102237
5,26-Mar,5,Florida,2484,,29,,,30.336864,-81.661603
6,26-Mar,6,Illinois,2538,,26,,,41.837551,-87.681844
7,26-Mar,7,Massachusetts,2417,,25,,,42.338551,-71.018253
8,26-Mar,8,Louisiana,2305,,83,,,30.05342,-89.934502
9,26-Mar,9,Georgia,1643,,56,,,33.762909,-84.422675
10,26-Mar,10,Texas,1588,,20,,,29.786642,-95.390899
11,26-Mar,11,Pennsylvania,1687,,16,,,40.009376,-75.133346
12,26-Mar,12,Colorado,1430,,24,,,39.76185,-104.881105
13,26-Mar,13,Tennessee,1098,,3,,,36.1718,-86.785002
14,26-Mar,14,Connecticut,1012,,21,,,41.187393,-73.195757
15,26-Mar,15,Ohio,867,,15,,,39.984371,-82.984787
16,26-Mar,16,Wisconsin,707,,10,,,43.063348,-87.966695
17,26-Mar,17,North Carolina,829,,2,,,35.208707,-80.830739
18,26-Mar,18,Indiana,645,,17,,,39.776664,-86.145935
19,26-Mar,19,South Carolina,456,,9,,,32.81793,-79.95896
20,26-Mar,20,Maryland,580,,4,,,39.300032,-76.610476
21,26-Mar,21,Arizona,508,,8,,,33.572154,-112.090132
22,26-Mar,22,Virginia,460,,13,,,36.779985,-76.025209
23,26-Mar,23,Alabama,531,,1,,,33.527444,-86.799047
24,26-Mar,24,Mississippi,485,,5,,,32.315831,-90.212823
25,26-Mar,25,Missouri,502,,8,,,39.125129,-94.551028
26,26-Mar,26,Utah,402,,1,,,40.776928,-111.930991
27,26-Mar,27,Nevada,420,,10,,,36.227551,-115.263782
28,26-Mar,28,Minnesota,346,,2,,,44.963324,-93.26832
29,26-Mar,29,Arkansas,335,,2,,,34.725432,-92.358556
30,26-Mar,30,Oregon,316,,11,,,45.536951,-122.649971
31,26-Mar,31,District Of Columbia,267,,3,,,38.904103,-77.017229
32,26-Mar,32,Kentucky,248,,8,,,38.165376,-85.647377
33,26-Mar,33,Oklahoma,250,,7,,,35.467079,-97.513657
34,26-Mar,34,Iowa,180,,1,,,41.57259,-93.610243
35,26-Mar,35,Maine,155,,0,,,45.367584,-68.972168
36,26-Mar,36,New Hampshire,158,,1,,,44,-71.5
37,26-Mar,37,Rhode Island,165,,0,,,41.823056,-71.418784
38,26-Mar,38,Kansas,168,,3,,,37.690638,-97.345836
39,26-Mar,39,Vermont,158,,9,,,44,-72.699997
40,26-Mar,40,Delaware,130,,1,,,39,-75.5
41,26-Mar,41,New Mexico,136,,1,,,35.10478,-106.646809
42,26-Mar,43,Idaho,189,,3,,,43.600229,-116.231656
43,26-Mar,44,Nebraska,68,,0,,,41.261748,-96.047142
44,26-Mar,45,Montana,71,,0,,,46.96526,-109.533691
45,26-Mar,46,West Virginia,76,,0,,,39,-80.5
46,26-Mar,47,North Dakota,52,,0,,,47.650589,-100.437012
47,26-Mar,49,South Dakota,46,,1,,,43.539466,-96.732035
48,26-Mar,50,Wyoming,56,,0,,,43.07597,-107.290283
