Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,30-Mar,0,New York,67325,"6,646",1342,279,61674,40.663468,-73.938697
1,30-Mar,1,New Jersey,16636,"3,250",198,37,16438,40.72422,-74.172574
2,30-Mar,2,California,7248,"1,044",145,14,7043,34.019394,-118.410825
3,30-Mar,3,Michigan,6498,"1,012",184,52,6309,42.383037,-83.102237
4,30-Mar,4,Massachusetts,5752,797,56,8,5686,42.338551,-71.018253
5,30-Mar,5,Florida,5704,754,71,11,5633,30.336864,-81.661603
6,30-Mar,6,Washington,5250,354,210,10,4550,47.619349,-122.351471
7,30-Mar,7,Illinois,5057,461,73,8,4982,41.837551,-87.681844
8,30-Mar,8,Pennsylvania,4154,735,51,10,4103,40.009376,-75.133346
9,30-Mar,9,Louisiana,4025,485,185,34,3840,30.05342,-89.934502
10,30-Mar,10,Georgia,3032,349,102,19,2930,33.762909,-84.422675
11,30-Mar,11,Texas,2906,98,41,3,2758,29.786642,-95.390899
12,30-Mar,12,Colorado,2627,320,51,4,2576,39.76185,-104.881105
13,30-Mar,13,Connecticut,2571,578,36,2,2535,41.187393,-73.195757
14,30-Mar,14,Ohio,1933,280,39,10,1894,39.984371,-82.984787
15,30-Mar,15,Tennessee,1928,208,13,6,1863,36.1718,-86.785002
16,30-Mar,16,Indiana,1786,272,35,3,1751,39.776664,-86.145935
17,30-Mar,17,Maryland,1413,174,15,5,1355,39.300032,-76.610476
18,30-Mar,18,North Carolina,1373,206,7,,1361,35.208707,-80.830739
19,30-Mar,19,Wisconsin,1285,131,23,6,1260,43.063348,-87.966695
20,30-Mar,20,Arizona,1157,238,20,3,1134,33.572154,-112.090132
21,30-Mar,21,Missouri,1031,128,13,1,1016,39.125129,-94.551028
22,30-Mar,22,Virginia,1020,130,25,3,993,36.779985,-76.025209
23,30-Mar,23,Nevada,1008,88,15,,993,36.227551,-115.263782
24,30-Mar,24,Alabama,935,108,11,2,924,33.527444,-86.799047
25,30-Mar,25,South Carolina,925,151,18,2,907,32.81793,-79.95896
26,30-Mar,26,Mississippi,847,89,16,2,831,32.315831,-90.212823
27,30-Mar,27,Utah,806,87,4,2,802,40.776928,-111.930991
28,30-Mar,28,Oregon,606,58,16,3,590,45.536951,-122.649971
29,30-Mar,29,Minnesota,576,73,10,1,432,44.963324,-93.26832
30,30-Mar,30,Arkansas,508,82,7,1,469,34.725432,-92.358556
31,30-Mar,31,District Of Columbia,495,94,9,,435,38.904103,-77.017229
32,30-Mar,32,Oklahoma,481,52,17,1,463,35.467079,-97.513657
33,30-Mar,33,Kentucky,480,41,11,3,405,38.165376,-85.647377
34,30-Mar,34,Iowa,424,88,6,2,400,41.57259,-93.610243
35,30-Mar,35,Idaho,415,105,7,1,408,43.600229,-116.231656
36,30-Mar,36,Rhode Island,408,114,4,1,404,41.823056,-71.418784
37,30-Mar,37,Kansas,368,49,8,2,360,37.690638,-97.345836
38,30-Mar,38,New Hampshire,314,56,3,,311,44,-71.5
39,30-Mar,39,New Mexico,281,44,4,2,277,35.10478,-106.646809
40,30-Mar,40,Maine,275,22,3,,231,45.367584,-68.972168
41,30-Mar,41,Delaware,264,32,6,,249,39,-75.5
42,30-Mar,42,Vermont,256,21,12,,244,44,-72.699997
43,30-Mar,44,Montana,171,10,4,3,167,46.96526,-109.533691
44,30-Mar,45,Nebraska,153,33,2,,151,41.261748,-96.047142
45,30-Mar,46,West Virginia,145,21,1,,144,39,-80.5
46,30-Mar,48,North Dakota,109,11,2,1,88,47.650589,-100.437012
47,30-Mar,49,South Dakota,101,11,1,,66,43.539466,-96.732035
48,30-Mar,50,Wyoming,95,8,,,95,43.07597,-107.290283
