,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
0,New York,20875,"+5,085",157.0,43.0,20610,[source] [source] [source] [source] [source] [source] [source]
1,New Jersey,2844,+930,27.0,7.0,2817,[source] [source]
2,Washington,2221,+225,110.0,15.0,1987,[source]
3,California,2133,+378,40.0,6.0,2087,[source] [source] [source]
4,Michigan,1328,+293,15.0,6.0,1313,[source] [source] [source]
5,Illinois,1285,+236,12.0,3.0,1271,[source]
6,Florida,1227,+220,18.0,5.0,1209,[source] [source]
7,Louisiana,1172,+335,35.0,15.0,1137,[source] [source]
8,Texas,806,+208,9.0,3.0,786,[source] [source] [source] [source] [source]
9,Georgia,800,+200,26.0,3.0,774,[source]
10,Massachusetts,777,+131,9.0,4.0,767,[source] [source]
11,Colorado,720,+129,7.0,1.0,713,[source] [source] [source]
12,Pennsylvania,644,+165,6.0,3.0,638,[source] [source]
13,Tennessee,615,+110,2.0,,613,[source] [source] [source]
14,Ohio,442,+91,6.0,3.0,436,[source]
15,Wisconsin,416,+35,5.0,1.0,410,[source]
16,Connecticut,415,+192,10.0,5.0,405,[source] [source] [source]
17,North Carolina,410,+139,,,410,[source] [source]
18,South Carolina,299,+104,5.0,2.0,294,[source]
19,Maryland,288,+44,3.0,,281,[source]
20,Indiana,259,+58,7.0,1.0,252,[source]
21,Utah,257,+76,1.0,,256,[source]
22,Virginia,254,+35,7.0,4.0,246,[source] [source]
23,Mississippi,249,+42,1.0,,248,[source]
24,Nevada,245,+55,4.0,2.0,241,[source]
25,Minnesota,235,+66,1.0,,210,[source]
26,Arizona,234,+82,2.0,,231,[source]
27,Arkansas,197,+32,,,197,[source] [source]
28,Alabama,196,+39,,,196,[source]
29,Oregon,191,+30,5.0,1.0,186,[source] [source]
30,Missouri,183,+93,4.0,1.0,179,[source] [source]
31,District of Columbia,137,+39,2.0,,135,[source]
32,Kentucky,124,+21,4.0,1.0,118,[source] [source]
33,Maine,107,+18,,,104,[source]
34,Rhode Island,106,+23,,,106,[source] [source]
35,Iowa,105,+15,,,105,[source] [source]
36,New Hampshire,101,+23,1.0,1.0,100,[source] [source]
37,New Mexico,83,+18,,,83,[source]
38,Kansas,82,+18,2.0,,80,[source] [source] [source]
39,Oklahoma,81,+14,2.0,,78,[source]
40,Hawaii,77,+21,,,77,[source]
41,Vermont,75,+23,5.0,3.0,70,[source]
42,Delaware,68,+12,,,68,[source]
43,Nebraska,50,+8,,,50,[source]
44,Idaho,47,+5,,,47,[source]
45,Montana,45,+11,,,45,[source]
46,Alaska,32,+10,,,32,[source] [source]
47,North Dakota,32,+2,,,32,[source]
48,South Dakota,28,+7,1.0,,21,[source]
49,Wyoming,26,+2,,,26,[source]
50,West Virginia,16,+4,,,16,[source] [source]
51,Diamond Princess Cruise,49,,,,49,
52,Grand Princess Cruise,30,,1.0,,29,
53,Total:,43718,10152,552.0,139.0,42871,
