,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
0,New York,32966,"+6,618",366.0,95.0,32492,[source]
1,New Jersey,4402,+727,62.0,18.0,4340,[source] [source]
2,California,2998,+432,65.0,14.0,2925,[source] [source] [source]
3,Washington,2588,+119,132.0,9.0,2332,[source] [source] [source] [source]
4,Michigan,2295,+504,43.0,19.0,2247,[source] [source] [source]
5,Florida,1977,+510,23.0,3.0,1954,[source] [source]
6,Illinois,1865,+330,19.0,3.0,1844,[source]
7,Massachusetts,1838,+679,15.0,4.0,1822,[source] [source]
8,Louisiana,1795,+407,65.0,19.0,1730,[source] [source]
9,Georgia,1387,+290,47.0,9.0,1340,[source] [source] [source]
10,Texas,1155,+132,15.0,3.0,1129,[source] [source] [source] [source] [source]
11,Pennsylvania,1127,+276,11.0,4.0,1116,[source] [source]
12,Colorado,1086,+174,19.0,8.0,1067,[source] [source]
13,Tennessee,906,+133,3.0,1.0,903,[source] [source] [source] [source]
14,Connecticut,875,+257,19.0,7.0,856,[source] [source] [source]
15,Ohio,704,+140,11.0,3.0,693,[source] [source]
16,Wisconsin,630,+173,7.0,2.0,621,[source] [source]
17,North Carolina,567,+69,2.0,2.0,565,[source] [source] [source]
18,Indiana,477,+112,14.0,2.0,463,[source]
19,South Carolina,424,+82,7.0,2.0,417,[source]
20,Maryland,423,+74,4.0,,415,[source] [source] [source]
21,Arizona,401,+75,6.0,1.0,392,[source] [source]
22,Virginia,391,+101,9.0,2.0,380,[source] [source]
23,Alabama,386,+144,,,386,[source] [source]
24,Mississippi,377,+57,5.0,4.0,372,[source]
25,Missouri,356,+86,8.0,,346,[source]
26,Utah,346,+48,1.0,,345,[source]
27,Nevada,321,+43,6.0,2.0,315,[source]
28,Minnesota,287,+25,1.0,,198,[source]
29,Arkansas,280,+48,2.0,,267,[source] [source]
30,Oregon,266,+57,8.0,3.0,258,[source] [source]
31,District Of Columbia,231,+48,3.0,1.0,228,[source]
32,Kentucky,198,+41,5.0,1.0,191,[source] [source] [source]
33,Oklahoma,164,+58,5.0,2.0,158,[source]
34,Iowa,145,+21,1.0,1.0,144,[source] [source] [source]
35,Maine,142,+24,,,139,[source]
36,New Hampshire,137,+29,1.0,,136,[source] [source]
37,Rhode Island,132,+8,,,132,[source] [source]
38,Kansas,126,+28,3.0,1.0,123,[source] [source] [source]
39,Vermont,123,+28,8.0,1.0,115,[source]
40,Delaware,119,+15,,,119,[source] [source]
41,New Mexico,112,+12,1.0,1.0,111,[source] [source]
42,Hawaii,95,+5,1.0,,94,[source] [source] [source]
43,Idaho,91,+10,,,91,[source] [source]
44,Nebraska,64,+3,,,64,[source] [source]
45,Montana,53,+7,,,53,[source]
46,West Virginia,52,+32,,,52,[source] [source] [source]
47,North Dakota,45,+11,,,42,[source]
48,Alaska,42,+6,,,42,[source] [source] [source]
49,South Dakota,41,+11,1.0,,27,[source]
50,Wyoming,41,+11,,,41,[source]
51,Guam,37,+5,1.0,,36,
52,Puerto Rico,51,+12,2.0,,48,[source]
53,United States Virgin Islands,17,,,,17,
54,Wuhan Repatriated,3,,,,3,
55,Diamond Princess Cruise,46,,,,46,
56,Total:,68203,13347,1027.0,247.0,66782,
