Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
22-Mar,0,New York,15790,"5,418",114,58,15676,43,-75
22-Mar,1,Washington,1996,203,95,1,1777,36.084621,-120.740135
22-Mar,2,New Jersey,1914,587,20,4,1894,35.860119,-74.871826
22-Mar,3,California,1755,364,34,10,1715,39.045753,-119.417931
22-Mar,4,Illinois,1049,296,9,3,1038,40,-89
22-Mar,5,Michigan,1035,248,9,4,1026,44.182205,-84.506836
22-Mar,6,Florida,1007,348,13,1,994,27.994402,-81.760254
22-Mar,7,Louisiana,837,252,20,4,817,43.07597,-92.329102
22-Mar,8,Massachusetts,646,121,5,4,640,34.048927,-71.382439
22-Mar,9,Georgia,600,45,23,9,577,33.247875,-83.441162
22-Mar,10,Texas,598,125,6,1,581,31,-100
22-Mar,11,Colorado,591,115,6,1,585,47.751076,-105.358887
22-Mar,12,Tennessee,505,134,2,1,503,19.741755,-86.660156
22-Mar,13,Pennsylvania,479,88,3,1,476,34.307144,-77.194527
22-Mar,14,Wisconsin,381,100,4,,376,44.5,-89.5
22-Mar,15,Ohio,351,104,3,,348,39.41922,-82.996216
22-Mar,16,North Carolina,271,25,,,271,44.068203,-80.793457
22-Mar,17,Maryland,244,54,3,1,237,41.203323,-76.641273
22-Mar,18,Connecticut,223,29,5,1,218,41.599998,-72.699997
22-Mar,19,Virginia,219,67,3,1,215,66.160507,-78.024902
22-Mar,20,Mississippi,207,66,1,,206,33,-90
22-Mar,21,Indiana,201,72,6,3,195,40.273502,-86.126976
22-Mar,22,South Carolina,195,22,3,,192,42.032974,-81.163727
22-Mar,23,Nevada,190,29,2,,188,39.876019,-117.224121
22-Mar,24,Utah,181,45,1,1,180,46.96526,-111.950684
22-Mar,25,Minnesota,169,31,1,,144,37.839333,-94.63623
22-Mar,26,Arkansas,165,47,,,165,34.799999,-92.199997
22-Mar,27,Oregon,161,24,4,,157,44,-120.5
22-Mar,28,Alabama,157,32,,,157,39.113014,-86.902298
22-Mar,29,Arizona,152,44,2,1,149,33.836082,-111.093735
22-Mar,30,Kentucky,103,39,3,1,98,37.926868,-84.27002
22-Mar,31,District of Columbia,98,21,2,-1,96,35.782169,-77.0369
22-Mar,32,Missouri,90,16,3,,87,38.573936,-92.60376
22-Mar,33,Iowa,90,22,,,90,40.367474,-93.581543
22-Mar,34,Maine,89,19,,,89,45.367584,-68.972168
22-Mar,35,Rhode Island,83,29,,,83,41.700001,-71.5
22-Mar,36,New Hampshire,78,13,,,78,44,-71.5
22-Mar,37,Oklahoma,67,14,2,1,64,47.650589,-96.921387
22-Mar,38,New Mexico,65,8,,,65,32.31823,-106.018066
22-Mar,39,Kansas,64,7,2,1,62,38.5,-98
22-Mar,40,Delaware,56,16,,,56,39,-75.5
22-Mar,42,Vermont,52,3,2,,50,44,-72.699997
22-Mar,43,Idaho,42,6,,,42,42.407211,-114.742043
22-Mar,44,Nebraska,42,4,,,42,41.5,-100
22-Mar,45,Montana,34,7,,,34,46.39241,-109.533691
22-Mar,46,North Dakota,30,2,,,30,39.833851,-100.437012
22-Mar,47,Wyoming,24,1,,,24,36.778259,-107.290283
22-Mar,49,South Dakota,21,7,1,,20,44.5,-100
22-Mar,50,West Virginia,12,1,,,12,39,-80.5
