Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
27-Mar,0,New York,46262,"7,285",606,140,43611,43,-75
27-Mar,1,New Jersey,8825,"1,949",108,27,8717,35.860119,-74.871826
27-Mar,2,California,4791,776,94,12,4679,39.045753,-119.417931
27-Mar,3,Washington,3700,493,175,28,3401,36.084621,-120.740135
27-Mar,4,Michigan,3657,801,92,32,3560,44.182205,-84.506836
27-Mar,5,Massachusetts,3240,823,35,10,3204,34.048927,-71.382439
27-Mar,6,Florida,3198,714,46,17,3152,27.994402,-81.760254
27-Mar,7,Illinois,3026,488,34,8,2990,40,-89
27-Mar,8,Louisiana,2746,441,119,36,2627,43.07597,-92.329102
27-Mar,9,Pennsylvania,2218,531,22,6,2196,34.307144,-77.194527
27-Mar,10,Georgia,2198,555,65,9,2133,33.247875,-83.441162
27-Mar,11,Texas,1950,362,26,6,1913,31,-100
27-Mar,12,Colorado,1734,304,31,7,1703,47.751076,-105.358887
27-Mar,13,Connecticut,1291,279,27,6,1264,41.599998,-72.699997
27-Mar,14,Tennessee,1203,105,6,3,1197,19.741755,-86.660156
27-Mar,15,Ohio,1137,270,19,4,1118,39.41922,-82.996216
27-Mar,16,Indiana,981,336,24,7,957,40.273502,-86.126976
27-Mar,17,North Carolina,880,51,3,1,877,44.068203,-80.793457
27-Mar,18,Wisconsin,842,135,14,4,826,44.5,-89.5
27-Mar,19,Maryland,774,194,5,1,744,41.203323,-76.641273
27-Mar,20,Missouri,670,168,9,1,659,38.573936,-92.60376
27-Mar,21,Arizona,665,157,13,5,649,33.836082,-111.093735
27-Mar,22,Alabama,627,96,3,2,624,39.113014,-86.902298
27-Mar,23,Virginia,604,144,14,1,588,66.160507,-78.024902
27-Mar,24,Mississippi,579,94,8,3,571,33,-90
27-Mar,25,South Carolina,539,83,13,4,526,42.032974,-81.163727
27-Mar,26,Nevada,535,115,10,,525,39.876019,-117.224121
27-Mar,27,Utah,480,78,2,1,478,46.96526,-111.950684
27-Mar,28,Oregon,414,98,11,,403,44,-120.5
27-Mar,29,Minnesota,398,52,4,2,260,37.839333,-94.63623
27-Mar,30,Arkansas,381,46,3,1,359,34.799999,-92.199997
27-Mar,31,Oklahoma,322,72,8,1,313,47.650589,-96.921387
27-Mar,32,District Of Columbia,304,37,4,1,249,35.782169,-77.0369
27-Mar,33,Kentucky,302,54,8,  ,292,37.926868,-84.27002
27-Mar,34,Iowa,235,55,3,2,214,40.367474,-93.581543
27-Mar,35,Idaho,230,41,3,,227,42.407211,-114.742043
27-Mar,36,Rhode Island,203,38,,,203,41.700001,-71.5
27-Mar,37,Kansas,202,34,4,1,198,38.5,-98
27-Mar,38,New Mexico,191,55,1,,190,32.31823,-106.018066
27-Mar,39,New Hampshire,187,29,2,1,185,44,-71.5
27-Mar,40,Vermont,184,26,10,1,174,44,-72.699997
27-Mar,41,Maine,168,13,1,1,151,45.367584,-68.972168
27-Mar,42,Delaware,165,35,2,1,159,39,-75.5
27-Mar,43,Montana,121,50,1,1,120,46.39241,-109.533691
27-Mar,45,West Virginia,96,20,1,1,95,39,-80.5
27-Mar,46,Nebraska,85,17,,,85,41.5,-100
27-Mar,47,Wyoming,73,17,,,73,36.778259,-107.290283
27-Mar,49,North Dakota,68,16,1,1,52,39.833851,-100.437012
27-Mar,50,South Dakota,58,12,1,,36,44.5,-100
