Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
26-Mar,0,New York,39735,,,,,43,-75
26-Mar,1,New Jersey,5832,,,,,35.860119,-74.871826
26-Mar,2,California,3700,,,,,39.045753,-119.417931
26-Mar,3,Washington,2989,,,,,36.084621,-120.740135
26-Mar,4,Michigan,2889,,,,,44.182205,-84.506836
26-Mar,5,Florida,2503,,,,,27.994402,-81.760254
26-Mar,6,Illinois,2322,,,,,40,-89
26-Mar,7,Massachusetts,2428,,,,,34.048927,-71.382439
26-Mar,8,Louisiana,2241,,,,,43.07597,-92.329102
26-Mar,9,Georgia,1740,,,,,33.247875,-83.441162
26-Mar,10,Texas,1424,,,,,31,-100
26-Mar,11,Pennsylvania,1529,,,,,34.307144,-77.194527
26-Mar,12,Colorado,1400,,,,,47.751076,-105.358887
26-Mar,13,Tennessee,1027,,,,,19.741755,-86.660156
26-Mar,14,Connecticut,1050,,,,,41.599998,-72.699997
26-Mar,15,Ohio,924,,,,,39.41922,-82.996216
26-Mar,16,Wisconsin,737,,,,,44.5,-89.5
26-Mar,17,North Carolina,682,,,,,44.068203,-80.793457
26-Mar,18,Indiana,710,,,,,40.273502,-86.126976
26-Mar,19,South Carolina,478,,,,,42.032974,-81.163727
26-Mar,20,Maryland,571,,,,,41.203323,-76.641273
26-Mar,21,Arizona,525,,,,,33.836082,-111.093735
26-Mar,22,Virginia,494,,,,,66.160507,-78.024902
26-Mar,23,Alabama,500,,,,,39.113014,-86.902298
26-Mar,24,Mississippi,456,,,,,33,-90
26-Mar,25,Missouri,453,,,,,38.573936,-92.60376
26-Mar,26,Utah,414,,,,,46.96526,-111.950684
26-Mar,27,Nevada,429,,,,,39.876019,-117.224121
26-Mar,28,Minnesota,333,,,,,37.839333,-94.63623
26-Mar,29,Arkansas,325,,,,,34.799999,-92.199997
26-Mar,30,Oregon,345,,,,,44,-120.5
26-Mar,31,District Of Columbia,268,,,,,35.782169,-77.0369
26-Mar,32,Kentucky,240,,,,,37.926868,-84.27002
26-Mar,33,Oklahoma,233,,,,,47.650589,-96.921387
26-Mar,34,Iowa,177,,,,,40.367474,-93.581543
26-Mar,35,Maine,146,,,,,45.367584,-68.972168
26-Mar,36,New Hampshire,160,,,,,44,-71.5
26-Mar,37,Rhode Island,158,,,,,41.700001,-71.5
26-Mar,38,Kansas,154,,,,,38.5,-98
26-Mar,39,Vermont,149,,,,,44,-72.699997
26-Mar,40,Delaware,142,,,,,39,-75.5
26-Mar,41,New Mexico,145,,,,,32.31823,-106.018066
26-Mar,43,Idaho,149,,,,,42.407211,-114.742043
26-Mar,44,Nebraska,72,,,,,41.5,-100
26-Mar,45,Montana,87,,,,,46.39241,-109.533691
26-Mar,46,West Virginia,78,,,,,39,-80.5
26-Mar,47,North Dakota,56,,,,,39.833851,-100.437012
26-Mar,49,South Dakota,48,,,,,44.5,-100
26-Mar,50,Wyoming,58,,,,,36.778259,-107.290283
