Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
24-Mar,0,New York,26348,"5,473",271,114,25969,43,-75
24-Mar,1,New Jersey,3675,831,44,17,3631,35.860119,-74.871826
24-Mar,2,California,2566,433,51,11,2507,39.045753,-119.417931
24-Mar,3,Washington,2469,248,123,13,2222,36.084621,-120.740135
24-Mar,4,Michigan,1791,463,24,9,1767,44.182205,-84.506836
24-Mar,5,Illinois,1535,250,16,4,1517,40,-89
24-Mar,6,Florida,1467,240,20,2,1447,27.994402,-81.760254
24-Mar,7,Louisiana,1388,216,46,11,1342,43.07597,-92.329102
24-Mar,8,Massachusetts,1159,382,11,2,1147,34.048927,-71.382439
24-Mar,9,Georgia,1097,294,38,12,1059,33.247875,-83.441162
24-Mar,10,Texas,1023,217,12,3,1000,31,-100
24-Mar,11,Colorado,912,192,11,4,901,47.751076,-105.358887
24-Mar,12,Pennsylvania,851,207,7,1,844,34.307144,-77.194527
24-Mar,13,Tennessee,773,158,2,,771,19.741755,-86.660156
24-Mar,14,Connecticut,618,203,12,2,606,41.599998,-72.699997
24-Mar,15,Ohio,564,122,8,2,556,39.41922,-82.996216
24-Mar,16,North Carolina,498,88,,,498,44.068203,-80.793457
24-Mar,17,Wisconsin,457,41,5,,451,44.5,-89.5
24-Mar,18,Indiana,365,106,12,5,353,40.273502,-86.126976
24-Mar,19,Maryland,349,61,4,1,341,41.203323,-76.641273
24-Mar,20,South Carolina,342,43,5,,337,42.032974,-81.163727
24-Mar,21,Arizona,326,92,5,3,318,33.836082,-111.093735
24-Mar,22,Mississippi,320,71,1,,319,33,-90
24-Mar,23,Utah,298,41,1,,297,46.96526,-111.950684
24-Mar,24,Virginia,290,36,7,,281,66.160507,-78.024902
24-Mar,25,Nevada,278,33,4,,274,39.876019,-117.224121
24-Mar,26,Missouri,270,74,8,3,260,38.573936,-92.60376
24-Mar,27,Minnesota,262,27,1,,173,37.839333,-94.63623
24-Mar,28,Alabama,242,46,,,242,39.113014,-86.902298
24-Mar,29,Arkansas,232,35,2,2,220,34.799999,-92.199997
24-Mar,30,Oregon,209,18,5,,204,44,-120.5
24-Mar,31,District Of Columbia,183,46,2,,181,35.782169,-77.0369
24-Mar,32,Kentucky,157,33,4,,151,37.926868,-84.27002
24-Mar,33,Iowa,124,19,,,124,40.367474,
24-Mar,34,Rhode Island,124,18,,,124,41.700001,-71.5
24-Mar,35,Maine,118,11,,-93.581543,115,45.367584,-68.972168
24-Mar,36,New Hampshire,108,7,1,,107,44,-71.5
24-Mar,37,Oklahoma,106,25,3,1,102,47.650589,-96.921387
24-Mar,38,Delaware,104,36,,,104,39,-75.5
24-Mar,39,New Mexico,100,17,,,100,32.31823,-106.018066
24-Mar,40,Kansas,98,16,2,,96,38.5,-98
24-Mar,41,Vermont,95,20,7,2,88,44,-72.699997
24-Mar,43,Idaho,81,34,,,81,42.407211,-114.742043
24-Mar,44,Nebraska,61,11,,,61,41.5,-100
24-Mar,45,Montana,46,1,,,46,46.39241,-109.533691
24-Mar,47,North Dakota,34,2,,,34,39.833851,-100.437012
24-Mar,48,South Dakota,30,2,1,,21,44.5,-100
24-Mar,49,Wyoming,30,4,,,30,36.778259,-107.290283
24-Mar,50,West Virginia,20,4,,,20,39,-80.5
