Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
28-Mar,0,New York,53020,,,,,43,-75
28-Mar,1,New Jersey,11223,,,,,35.860119,-74.871826
28-Mar,2,California,5300,,,,,39.045753,-119.417931
28-Mar,3,Washington,4393,,,,,36.084621,-120.740135
28-Mar,4,Michigan,4422,,,,,44.182205,-84.506836
28-Mar,5,Massachusetts,4002,,,,,34.048927,-71.382439
28-Mar,6,Florida,4087,,,,,27.994402,-81.760254
28-Mar,7,Illinois,3877,,,,,40,-89
28-Mar,8,Louisiana,3145,,,,,43.07597,-92.329102
28-Mar,9,Pennsylvania,2897,,,,,34.307144,-77.194527
28-Mar,10,Georgia,2416,,,,,33.247875,-83.441162
28-Mar,11,Texas,2219,,,,,31,-100
28-Mar,12,Colorado,2000,,,,,47.751076,-105.358887
28-Mar,13,Connecticut,1500,,,,,41.599998,-72.699997
28-Mar,14,Tennessee,1498,,,,,19.741755,-86.660156
28-Mar,15,Ohio,1414,,,,,39.41922,-82.996216
28-Mar,16,Indiana,1212,,,,,40.273502,-86.126976
28-Mar,17,North Carolina,984,,,,,44.068203,-80.793457
28-Mar,18,Wisconsin,1009,,,,,44.5,-89.5
28-Mar,19,Maryland,1011,,,,,41.203323,-76.641273
28-Mar,20,Missouri,818,,,,,38.573936,-92.60376
28-Mar,21,Arizona,775,,,,,33.836082,-111.093735
28-Mar,22,Alabama,725,,,,,39.113014,-86.902298
28-Mar,23,Virginia,719,,,,,66.160507,-78.024902
28-Mar,24,Mississippi,657,,,,,33,-90
28-Mar,25,South Carolina,621,,,,,42.032974,-81.163727
28-Mar,26,Nevada,726,,,,,39.876019,-117.224121
28-Mar,27,Utah,598,,,,,46.96526,-111.950684
28-Mar,28,Oregon,486,,,,,44,-120.5
28-Mar,29,Minnesota,447,,,,,37.839333,-94.63623
28-Mar,30,Arkansas,400,,,,,34.799999,-92.199997
28-Mar,31,Oklahoma,389,,,,,47.650589,-96.921387
28-Mar,32,District Of Columbia,350,,,,,35.782169,-77.0369
28-Mar,33,Kentucky,370,,,,,37.926868,-84.27002
28-Mar,34,Iowa,292,,,,,40.367474,-93.581543
28-Mar,35,Idaho,262,,,,,42.407211,-114.742043
28-Mar,36,Rhode Island,245,,,,,41.700001,-71.5
28-Mar,37,Kansas,260,,,,,38.5,-98
28-Mar,38,New Mexico,220,,,,,32.31823,-106.018066
28-Mar,39,New Hampshire,225,,,,,44,-71.5
28-Mar,40,Vermont,212,,,,,44,-72.699997
28-Mar,41,Maine,204,,,,,45.367584,-68.972168
28-Mar,42,Delaware,194,,,,,39,-75.5
28-Mar,43,Montana,151,,,,,46.39241,-109.533691
28-Mar,45,West Virginia,102,,,,,39,-80.5
28-Mar,46,Nebraska,101,,,,,41.5,-100
28-Mar,47,Wyoming,83,,,,,36.778259,-107.290283
28-Mar,49,North Dakota,79,,,,,39.833851,-100.437012
28-Mar,50,South Dakota,69,,,,,44.5,-100
