Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
25-Mar,0,New York,32966,"6,618",366,95,32492,43,-75
25-Mar,1,New Jersey,4402,727,62,18,4340,35.860119,-74.871826
25-Mar,2,California,2998,432,65,14,2925,39.045753,-119.417931
25-Mar,3,Washington,2588,119,132,9,2332,36.084621,-120.740135
25-Mar,4,Michigan,2295,504,43,19,2247,44.182205,-84.506836
25-Mar,5,Florida,1977,510,23,3,1954,27.994402,-81.760254
25-Mar,6,Illinois,1865,330,19,3,1844,40,-89
25-Mar,7,Massachusetts,1838,679,15,4,1822,34.048927,-71.382439
25-Mar,8,Louisiana,1795,407,65,19,1730,43.07597,-92.329102
25-Mar,9,Georgia,1387,290,47,9,1340,33.247875,-83.441162
25-Mar,10,Texas,1155,132,15,3,1129,31,-100
25-Mar,11,Pennsylvania,1127,276,11,4,1116,34.307144,-77.194527
25-Mar,12,Colorado,1086,174,19,8,1067,47.751076,-105.358887
25-Mar,13,Tennessee,906,133,3,1,903,19.741755,-86.660156
25-Mar,14,Connecticut,875,257,19,7,856,41.599998,-72.699997
25-Mar,15,Ohio,704,140,11,3,693,39.41922,-82.996216
25-Mar,16,Wisconsin,630,173,7,2,621,44.5,-89.5
25-Mar,17,North Carolina,567,69,2,2,565,44.068203,-80.793457
25-Mar,18,Indiana,477,112,14,2,463,40.273502,-86.126976
25-Mar,19,South Carolina,424,82,7,2,417,42.032974,-81.163727
25-Mar,20,Maryland,423,74,4,,415,41.203323,-76.641273
25-Mar,21,Arizona,401,75,6,1,392,33.836082,-111.093735
25-Mar,22,Virginia,391,101,9,2,380,66.160507,-78.024902
25-Mar,23,Alabama,386,144,,,386,39.113014,-86.902298
25-Mar,24,Mississippi,377,57,5,4,372,33,-90
25-Mar,25,Missouri,356,86,8,,346,38.573936,-92.60376
25-Mar,26,Utah,346,48,1,,345,46.96526,-111.950684
25-Mar,27,Nevada,321,43,6,2,315,39.876019,-117.224121
25-Mar,28,Minnesota,287,25,1,,198,37.839333,-94.63623
25-Mar,29,Arkansas,280,48,2,,267,34.799999,-92.199997
25-Mar,30,Oregon,266,57,8,3,258,44,-120.5
25-Mar,31,District Of Columbia,231,48,3,1,228,35.782169,-77.0369
25-Mar,32,Kentucky,198,41,5,1,191,37.926868,-84.27002
25-Mar,33,Oklahoma,164,58,5,2,158,47.650589,-96.921387
25-Mar,34,Iowa,145,21,1,1,144,40.367474,-93.581543
25-Mar,35,Maine,142,24,,,139,45.367584,-68.972168
25-Mar,36,New Hampshire,137,29,1,,136,44,-71.5
25-Mar,37,Rhode Island,132,8,,,132,41.700001,-71.5
25-Mar,38,Kansas,126,28,3,1,123,38.5,-98
25-Mar,39,Vermont,123,28,8,1,115,44,-72.699997
25-Mar,40,Delaware,119,15,,,119,39,-75.5
25-Mar,41,New Mexico,112,12,1,1,111,32.31823,-106.018066
25-Mar,43,Idaho,91,10,,,91,42.407211,-114.742043
25-Mar,44,Nebraska,64,3,,,64,41.5,-100
25-Mar,45,Montana,53,7,,,53,46.39241,-109.533691
25-Mar,46,West Virginia,52,32,,,52,39,-80.5
25-Mar,47,North Dakota,45,11,,,42,39.833851,-100.437012
25-Mar,49,South Dakota,41,11,1,,27,44.5,-100
25-Mar,50,Wyoming,41,11,,,41,36.778259,-107.290283
