Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
30-Mar,0,New York,67325,"6,646",1342,279,61674,43,-75
30-Mar,1,New Jersey,16636,"3,250",198,37,16438,35.860119,-74.871826
30-Mar,2,California,7248,"1,044",145,14,7043,39.045753,-119.417931
30-Mar,3,Michigan,6498,"1,012",184,52,6309,44.182205,-84.506836
30-Mar,4,Massachusetts,5752,797,56,8,5686,34.048927,-71.382439
30-Mar,5,Florida,5704,754,71,11,5633,27.994402,-81.760254
30-Mar,6,Washington,5250,354,210,10,4550,36.084621,-120.740135
30-Mar,7,Illinois,5057,461,73,8,4982,40,-89
30-Mar,8,Pennsylvania,4154,735,51,10,4103,34.307144,-77.194527
30-Mar,9,Louisiana,4025,485,185,34,3840,43.07597,-92.329102
30-Mar,10,Georgia,3032,349,102,19,2930,33.247875,-83.441162
30-Mar,11,Texas,2906,98,41,3,2758,31,-100
30-Mar,12,Colorado,2627,320,51,4,2576,47.751076,-105.358887
30-Mar,13,Connecticut,2571,578,36,2,2535,41.599998,-72.699997
30-Mar,14,Ohio,1933,280,39,10,1894,39.41922,-82.996216
30-Mar,15,Tennessee,1928,208,13,6,1863,19.741755,-86.660156
30-Mar,16,Indiana,1786,272,35,3,1751,40.273502,-86.126976
30-Mar,17,Maryland,1413,174,15,5,1355,41.203323,-76.641273
30-Mar,18,North Carolina,1373,206,7,,1361,44.068203,-80.793457
30-Mar,19,Wisconsin,1285,131,23,6,1260,44.5,-89.5
30-Mar,20,Arizona,1157,238,20,3,1134,33.836082,-111.093735
30-Mar,21,Missouri,1031,128,13,1,1016,38.573936,-92.60376
30-Mar,22,Virginia,1020,130,25,3,993,66.160507,-78.024902
30-Mar,23,Nevada,1008,88,15,,993,39.876019,-117.224121
30-Mar,24,Alabama,935,108,11,2,924,39.113014,-86.902298
30-Mar,25,South Carolina,925,151,18,2,907,42.032974,-81.163727
30-Mar,26,Mississippi,847,89,16,2,831,33,-90
30-Mar,27,Utah,806,87,4,2,802,46.96526,-111.950684
30-Mar,28,Oregon,606,58,16,3,590,44,-120.5
30-Mar,29,Minnesota,576,73,10,1,432,37.839333,-94.63623
30-Mar,30,Arkansas,508,82,7,1,469,34.799999,-92.199997
30-Mar,31,District Of Columbia,495,94,9,,435,35.782169,-77.0369
30-Mar,32,Oklahoma,481,52,17,1,463,47.650589,-96.921387
30-Mar,33,Kentucky,480,41,11,3,405,37.926868,-84.27002
30-Mar,34,Iowa,424,88,6,2,400,40.367474,-93.581543
30-Mar,35,Idaho,415,105,7,1,408,42.407211,-114.742043
30-Mar,36,Rhode Island,408,114,4,1,404,41.700001,-71.5
30-Mar,37,Kansas,368,49,8,2,360,38.5,-98
30-Mar,38,New Hampshire,314,56,3,,311,44,-71.5
30-Mar,39,New Mexico,281,44,4,2,277,32.31823,-106.018066
30-Mar,40,Maine,275,22,3,,231,45.367584,-68.972168
30-Mar,41,Delaware,264,32,6,,249,39,-75.5
30-Mar,42,Vermont,256,21,12,,244,44,-72.699997
30-Mar,44,Montana,171,10,4,3,167,46.39241,-109.533691
30-Mar,45,Nebraska,153,33,2,,151,41.5,-100
30-Mar,46,West Virginia,145,21,1,,144,39,-80.5
30-Mar,48,North Dakota,109,11,2,1,88,39.833851,-100.437012
30-Mar,49,South Dakota,101,11,1,,66,44.5,-100
30-Mar,50,Wyoming,95,8,,,95,36.778259,-107.290283
